record_id,estudio,idioma,fuente_del_idioma,version_inglesa,veredicto,pmid,revista,titulo
Ra27f5e9de1,82,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,,elegible,,https://clinicaltrials.gov/ct2/show/NCT04596319,Ph 1/2 Study Evaluating Safety and Tolerability of Inhaled AP-PA02 in Subjects With Chronic Pseudomonas Aeruginosa Lung 
Ra669243a04,83,eng,Europe PMC (campo language),,elegible,34452408,Viruses,Bacteriophage Therapy for Difficult-to-Treat Infections: The Implementation of a Multidisciplinary Phage Task Force (The
R23483b48bc,83,eng,ficha de registro de ensayo: el registro publica en ingles,,elegible,,,Bacteriophage Therapy for Difficult-to-treat Infections: the Implementation of a Multidisciplinary Phage Task Force
Rc74ef3ed71,84,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,,elegible,,https://clinicaltrials.gov/study/NCT05616221,"Study to Evaluate the Safety, Phage Kinetics, and Efficacy of Inhaled AP-PA02 in Subjects With Non-Cystic Fibrosis Bronc"
R86898bdcba,84,eng,ficha de registro de ensayo: el registro publica en ingles,,elegible,,,"Study to Evaluate the Safety, Phage Kinetics, and Efficacy of Inhaled AP-PA02 in Subjects With Non-Cystic Fibrosis Bronc"
R188612f054,85,eng,Europe PMC (campo language),,elegible,36636832,Microbial biotechnology,First-in-human application of double-stranded RNA bacteriophage in the treatment of pulmonary Pseudomonas aeruginosa inf
R9a169ae02f,86,eng,Europe PMC (campo language),,elegible,,Journal of Drug Delivery Science and Technology,Inhalation phage therapy as a new approach to preventing secondary bacterial pneumonia in patients with moderate to seve
R9d091cf924,86,eng,"exportacion de Scopus (brazo B), emparejado por titulo",,elegible,,Journal of drug delivery science and technology,Inhalation phage therapy as a new approach to preventing secondary bacterial pneumonia in patients with moderate to seve
R4be8d3bd67,87,eng,ficha de registro de ensayo: el registro publica en ingles,,elegible,,,PHAGEinLYON Clinic Cohort Study: a Descriptive Study of Severe Infections Treated With Phage Therapy at the HCL.
R0b195c9d15,88,eng,Europe PMC (campo language),,elegible,39355265,Frontiers in cellular and infection microbiology,Case report: Personalized triple phage-antibiotic combination therapy to rescue necrotizing fasciitis caused by Panton-V
R26f756e05e,89,rus,exportacion de Scopus (brazo B) (campo de idioma),,excluir,,Voprosy Prakticheskoi Pediatrii,Combined use of light and phage therapy in patients with pharyngeal tonsil hypertrophy
R99c5855b1c,90,dut,"exportacion de Scopus (brazo B), emparejado por titulo",,excluir,,Pharmaceutisch Weekblad,"'Bacteriophage therapy, a solution for increasing antibiotic resistance'. UMC Utrecht treats a patient with bacteriophag"
R72f673966a,91,eng,Europe PMC (campo language),,elegible,41516055,International journal of molecular sciences,Analysis of Pro- and Anti-Inflammatory Gene Response Patterns in Patients Receiving Phage Therapy.
R0ba25ff795,92,rus,Europe PMC (campo language),Khirurgiya. Zhurnal im. N.I. Pirogova: version inglesa integra en mediasphera.ru,elegible,40103254,Pirogov Russian Journal of Surgery,Phage therapy analysis of effectiveness in comorbid patients with wounds and surgical infections of various etiology bas
Rc8ff79c3d5,93,eng,Europe PMC (campo language),,elegible,41510198,JAC-antimicrobial resistance,Pharmacodynamic individualization of phage therapy against a KPC-5-producing Pseudomonas aeruginosa.
Rfc0fff7284,94,eng,Europe PMC (campo language),,elegible,41513696,Nature Communications ,Timely bespoke phage-antibiotic combination to treat refractory Pseudomonas aeruginosa mediastinitis and vascular graft 
Ra1f20b8500,95,eng,Europe PMC (campo language),,elegible,34369652,EMBO molecular medicine,"Bacterial lysis, autophagy and innate immune responses during adjunctive phage therapy in a child."
