estudio,clave,situacion,orden,record_id,tipo_informe,informe_para_extraer,informes_del_estudio,anio,revista,titulo
31,T:harnessingbacteriophagestocombatantibioticresistantchronicpostoperativeinfection,extraible,68,Rad7d40f6e0,articulo,SI,1,2026,Medicine in Microecology,Harnessing bacteriophages to combat antibiotic-resistant chronic postoperative infections: A promising case series
32,T:refractorypseudomonasbacteremiaina2yearoldsterilizedbybacteriophagetherapy,extraible,72,R6556b80259,articulo,SI,1,2018,Journal of the Pediatric Infectious Diseases Society,Refractory Pseudomonas Bacteremia in a 2-Year-Old Sterilized by Bacteriophage Therapy.
33,T:bacteriophagetherapyofventilatorassociatedpneumoniaandempyemacausedbypseudomonas,extraible,74,R30e4263f97,articulo,SI,1,2019,American journal of respiratory and critical care medicine,Bacteriophage Therapy of Ventilator-associated Pneumonia and Empyema Caused by Pseudomonas aeruginosa.
34,T:lessonslearnedfromthefirst10consecutivecasesofintravenousbacteriophagetherapytot,extraible,75,R239f702d9a,articulo,SI,1,2020,Open forum infectious diseases,Lessons Learned From the First 10 Consecutive Cases of Intravenous Bacteriophage Therapy to Treat Multidrug-Resistant Bacterial Infections at a Single Center in the United States.
35,NCT05453578,extraible,77,R4215a33dab,ficha de registro,no,3,2022,,A Phase 1b/2 Trial of the Safety and Microbiological Activity of Bacteriophage Therapy in Cystic Fibrosis Subjects Colonized With Pseudomonas Aeruginosa
35,NCT05453578,extraible,78,R8e9df36288,ficha de registro,no,3,2022,https://clinicaltrials.gov/study/NCT05453578,A Phase 1b/2 Trial of the Safety and Microbiological Activity of Bacteriophage Therapy in Cystic Fibrosis Subjects Colonized With Pseudomonas Aeruginosa
35,NCT05453578,extraible,80,Rf29fc741e7,articulo,SI,3,2022,Trials,"Safety and microbiological activity of phage therapy in persons with cystic fibrosis colonized with Pseudomonas aeruginosa: study protocol for a phase 1b/2, multicenter, randomized, double-blind, placebo-controlled trial."
36,T:arandomizedcontrolledtrialofbacteriophagecocktailtherapyformultidrugresistantgra,solo-registro,83,Re500315433,ficha de registro,SI,1,2025,https://trialsearch.who.int/Trial2.aspx?TrialID=ChiCTR2500107739,A Randomized Controlled Trial of Bacteriophage Cocktail Therapy for Multidrug-Resistant Gram-Negative Ventilator-Associated Pneumonia
37,T:panresistantpseudomonasaeruginosasepticshockinacriticallyillpatientacasereport,extraible,88,R91ba44e4e5,articulo,SI,1,2026,Clinical Medicine Insights: Case Reports ,Pan-Resistant Pseudomonas aeruginosa Septic Shock in a Critically Ill Patient: A Case Report.
38,T:phagetherapyexperienceattheeliavaphagetherapycenterthreecasesofbacterialpersiste,extraible,95,R02b1e109ec,articulo,SI,1,2021,Viruses,Phage Therapy Experience at the Eliava Phage Therapy Center: Three Cases of Bacterial Persistence.
39,T:adaptivephagetherapyforthepreventionofrecurrentnosocomialpneumonianovelprotocold,extraible,97,R146b3e2f13,articulo,SI,1,2023,Antibiotics,Adaptive Phage Therapy for the Prevention of Recurrent Nosocomial Pneumonia: Novel Protocol Description and Case Series
40,T:refractorypseudomonasaeruginosabronchopulmonaryinfectionafterlungtransplantation,extraible,99,R5b72edadd2,articulo,SI,1,2023,Infection and drug resistance,Refractory Pseudomonas aeruginosa Bronchopulmonary Infection After Lung Transplantation for Common Variable Immunodeficiency Despite Maximal Treatment Including IgM/IgA-Enriched Immunoglobulins and Bacteriophage Therapy.
41,T:optimizedpreparationpipelineforemergencyphagetherapyagainstpseudomonasaeruginosa,extraible,104,R7e46934a02,articulo,SI,1,2024,Scientific reports,Optimized preparation pipeline for emergency phage therapy against Pseudomonas aeruginosa at Yale University.
42,T:phagetherapyofperinephricabscessinkidneytransplantationrecipientscausedbydrugres,extraible,110,R35b74982e8,articulo,SI,1,2025,mLife,Phage therapy of perinephric abscess in kidney transplantation recipients caused by drug-resistant Pseudomonas aeruginosa.
43,T:calciphylaxiscomplicatedbyndm1producingpseudomonasaeruginosafirstexperiencewithc,extraible,111,R2105e151c4,articulo,SI,1,2026,The Lancet. Infectious diseases,Calciphylaxis complicated by NDM-1-producing Pseudomonas aeruginosa: first experience with cefepime-zidebactam alongside phage therapy in the USA.
44,T:successfulbacteriophagetreatmentofarecalcitrantintraabdominalinfectioncausedbymu,extraible,116,Rdcfed12d81,articulo,SI,1,2026,The Journal of pediatrics,Successful Bacteriophage Treatment of a Recalcitrant Intra-Abdominal Infection Caused by Multidrug-Resistant Pseudomonas aeruginosa in a 2-Year-Old Child.
45,T:conceptofindividualizedmedicinebasedonpersonalizedphagetherapyforintensivecareun,extraible,120,R786d185312,articulo,SI,1,2017,Infektsionnye Bolezni,Concept of individualized medicine based on personalized phage therapy for intensive care unit patients suffering from healthcare-associated infections
46,T:useofbacteriophagesinthetreatmentofcolistinonlysensitivepseudomonasaeruginosasep,extraible,121,Rb2ced3ce85,articulo,SI,1,2017,"Critical care (London, England)",Use of bacteriophages in the treatment of colistin-only-sensitive Pseudomonas aeruginosa septicaemia in a patient with acute kidney injury-a case report.
