id,estado,pmcid,url,revista
EST-098,sin PDF abierto (no es acceso abierto),,,The Journal of heart and lung transplantation : the official
EST-100,sin PDF abierto (no es acceso abierto),,,Infektsionnye Bolezni
EST-101,descargado,PMC12467631,https://europepmc.org/articles/PMC12467631?pdf=render,Biomedicines
EST-103,sin PDF abierto (no es acceso abierto),,,Pirogov Russian Journal of Surgery
EST-105,fallo: HTTP Error 403: Forbidden,,https://academic.oup.com/jac/article-pdf/73/10/2901/25770367/dky263.pdf,The Journal of antimicrobial chemotherapy
EST-106,descargado,PMC5842392,https://europepmc.org/articles/PMC5842392?pdf=render,"Evolution, medicine, and public health"
EST-108,descargado,PMC11153159,https://europepmc.org/articles/PMC11153159?pdf=render,Nature microbiology
EST-109,sin PDF abierto (no es acceso abierto),,,Russian Journal of Anesthesiology and Reanimatology /Anestez
EST-110,sin PDF abierto (no es acceso abierto),,,"Methods in molecular biology (Clifton, N.J.)"
EST-115,sin PDF abierto (no es acceso abierto),,,Future microbiology
EST-116,descargado,PMC6466067,https://europepmc.org/articles/PMC6466067?pdf=render,Viruses
EST-117,descargado,PMC7854414,https://link.springer.com/content/pdf/10.1007/s12223-020-00835-z.pdf,Folia microbiologica
EST-118,sin PDF abierto (no es acceso abierto),,,The Lancet. Infectious diseases
EST-120,sin PDF abierto (no es acceso abierto),,,Meditsinskiy Sovet
EST-121,descargado,PMC9598433,https://europepmc.org/articles/PMC9598433?pdf=render,Antibiotics
EST-122,fallo: HTTP Error 403: Forbidden,PMC9743374,https://bmjopen.bmj.com/content/bmjopen/12/12/e065401.full.pdf,BMJ open
EST-123,sin PDF abierto (no es acceso abierto),,,Russian Journal of Infection and Immunity
EST-124,descargado,PMC10223274,https://europepmc.org/articles/PMC10223274?pdf=render,Viruses
EST-125,sin PDF abierto (no es acceso abierto),,,Vestnik otorinolaringologii
EST-126,sin PDF abierto (no es acceso abierto),,,International Journal of Pediatrics and Adolescent Medicine 
EST-127,sin PDF abierto (no es acceso abierto),,,Reproductive Health Eastern Europe
EST-128,sin PDF abierto (no es acceso abierto),,,Ugeskrift for laeger
EST-129,descargado,PMC11851713,https://europepmc.org/articles/PMC11851713?pdf=render,Antibiotics
