id,situacion,anio,revista,titulo,n_informes,diseno,n_brazo,procedencia,texto_completo,clave_de_estudio
EST-074,extraible,2020,"Antibiotics (Basel, Switzerland)",Bacteriophage Therapy for Critical Infections Related to Cardiothoracic Surgery.,1,case series,8,Alemania,sí,T:bacteriophagetherapyforcriticalinfectionsrelatedtocardiothoracicsurgery
EST-075,extraible,2021,Medical Immunology (Russia),Phage therapy in antibiotic resistant pneumonia: Immunomodulation or redistribution?; [ФАГОТЕРАПИЯ АНТИБИОТИКОРЕЗИСТЕНТНОЙ ПНЕВМОНИИ: ИММУНОМОДУЛЯЦИЯ ИЛИ ПЕРЕРАСПРЕДЕЛЕНИЕ?],1,prospective cohort,19,Rusia,sí,T:phagetherapyinantibioticresistantpneumoniaimmunomodulationorredistribution
EST-076,extraible,2023,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,Experience Using Adjuvant Bacteriophage Therapy for the Treatment of 10 Recalcitrant Periprosthetic Joint Infections: A Case Series.,1,case series,10,,no,T:experienceusingadjuvantbacteriophagetherapyforthetreatmentof10recalcitrantperipr
EST-077,extraible,2024,Antimicrobial agents and chemotherapy,Pseudomonas aeruginosa ventricular assist device infections: findings from ineffective phage therapies in five cases.,1,case series,4,,sí,T:pseudomonasaeruginosaventricularassistdeviceinfectionsfindingsfromineffectivepha
EST-078,solo-resumen,2025,International journal of diabetes in developing countries,Efficacy of Bacteriophage Therapy in the Treatment of Diabetic Foot Ulcers: a Pilot Study from South India,1,RCT,,India,no,T:efficacyofbacteriophagetherapyinthetreatmentofdiabeticfootulcersapilotstudyfroms
EST-080,extraible,2020,"PHAGE: Therapy, Applications, and Research",Bacteriophage Therapy as a Potential Management Option for Surgical Wound Infections,1,case series,4,Georgia,sí,T:bacteriophagetherapyasapotentialmanagementoptionforsurgicalwoundinfections
EST-081,extraible,2020,Current opinion in infectious diseases,Bacteriophage therapy as a treatment option for transplant infections.,1,,,,no,T:bacteriophagetherapyasatreatmentoptionfortransplantinfections
EST-082,solo-registro,2020,,Ph 1/2 Study Evaluating Safety and Tolerability of Inhaled AP-PA02 in Subjects With Chronic Pseudomonas Aeruginosa Lung Infections and Cystic Fibrosis,2,,,,no,NCT04596319
EST-083,extraible,2021,Viruses,Bacteriophage Therapy for Difficult-to-Treat Infections: The Implementation of a Multidisciplinary Phage Task Force (The PHAGEFORCE Study Protocol).,2,,,,no,NCT06368388
EST-084,solo-registro,2023,,"Study to Evaluate the Safety, Phage Kinetics, and Efficacy of Inhaled AP-PA02 in Subjects With Non-Cystic Fibrosis Bronchiectasis and Chronic Pulmonary Pseudomonas Aeruginosa Infection",2,,,,no,NCT05616221
EST-085,extraible,2023,Microbial biotechnology,First-in-human application of double-stranded RNA bacteriophage in the treatment of pulmonary Pseudomonas aeruginosa infection.,1,case report,1,,sí,T:firstinhumanapplicationofdoublestrandedrnabacteriophageinthetreatmentofpulmonary
EST-086,extraible,2023,Journal of Drug Delivery Science and Technology,Inhalation phage therapy as a new approach to preventing secondary bacterial pneumonia in patients with moderate to severe COVID-19: A double-blind clinical trial study,2,RCT,30,Iran,sí,T:inhalationphagetherapyasanewapproachtopreventingsecondarybacterialpneumoniainpat
EST-087,solo-registro,2023,,PHAGEinLYON Clinic Cohort Study: a Descriptive Study of Severe Infections Treated With Phage Therapy at the HCL.,1,,,,no,NCT06185920
EST-088,extraible,2024,Frontiers in cellular and infection microbiology,Case report: Personalized triple phage-antibiotic combination therapy to rescue necrotizing fasciitis caused by Panton-Valentine leukocidin-producing MRSA in a 12-year-old boy.,1,case report,1,,sí,T:casereportpersonalizedtriplephageantibioticcombinationtherapytorescuenecrotizing
EST-091,extraible,2025,International journal of molecular sciences,Analysis of Pro- and Anti-Inflammatory Gene Response Patterns in Patients Receiving Phage Therapy.,1,prospective cohort,10,Polonia,sí,T:analysisofproandantiinflammatorygeneresponsepatternsinpatientsreceivingphagether
EST-092,extraible,2025,Pirogov Russian Journal of Surgery,Phage therapy analysis of effectiveness in comorbid patients with wounds and surgical infections of various etiology based on the results of a comparative clinical study; [Анализ эффективности фаговой терапии у коморбидных пациентов с ранами и хирургической инфекцией различной этиологии по результатам сравнительного клинического исследования],1,RCT,70,Rusia,no,T:phagetherapyanalysisofeffectivenessincomorbidpatientswithwoundsandsurgicalinfect
EST-093,extraible,2026,JAC-antimicrobial resistance,Pharmacodynamic individualization of phage therapy against a KPC-5-producing Pseudomonas aeruginosa.,1,,,,sí,T:pharmacodynamicindividualizationofphagetherapyagainstakpc5producingpseudomonasae
EST-094,extraible,2026,Nature Communications ,Timely bespoke phage-antibiotic combination to treat refractory Pseudomonas aeruginosa mediastinitis and vascular graft infection.,1,case report,1,,sí,T:timelybespokephageantibioticcombinationtotreatrefractorypseudomonasaeruginosamed
EST-095,extraible,2021,EMBO molecular medicine,"Bacterial lysis, autophagy and innate immune responses during adjunctive phage therapy in a child.",1,case report,1,,sí,T:bacteriallysisautophagyandinnateimmuneresponsesduringadjunctivephagetherapyinach
EST-096,extraible,2021,Antibiotics,Low immunogenicity of intravesical phage therapy for urogenitary tract infections,1,prospective cohort,,Polonia,no,T:lowimmunogenicityofintravesicalphagetherapyforurogenitarytractinfections
EST-097,solo-registro,2022,,Phage Therapy for the Prevention and Treatment of Pressure Ulcers.,2,,,,no,NCT04815798
EST-098,extraible,2022,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Bacteriophage therapy as a treatment option for complex cardiovascular implant infection: The German Heart Center Berlin experience.,1,case series,,Alemania,no,T:bacteriophagetherapyasatreatmentoptionforcomplexcardiovascularimplantinfectionth
EST-099,solo-registro,2023,https://trialsearch.who.int/Trial2.aspx?TrialID=ACTRN12623000542695,Evaluation of safety and effectiveness of a nebulised phage cocktail in patients with chronic rhinosinusitis (CRS),1,,,,no,T:evaluationofsafetyandeffectivenessofanebulisedphagecocktailinpatientswithchronic
EST-101,extraible,2025,Biomedicines,The Efficacy of Inhaled Phage Cocktail to Prevent Ventilator-Associated Pneumonia in Children: A Double-Blind Clinical Trial,2,RCT,30,Iran,sí,T:theefficacyofinhaledphagecocktailtopreventventilatorassociatedpneumoniainchildre
EST-102,solo-registro,2026,https://trialsearch.who.int/Trial2.aspx?TrialID=ChiCTR2600122738,"A randomized, double-blind clinical trial of phage nebulized inhalation for the treatment of respiratory tract infections caused by multi-drug resistant Pseudomonas aeruginosa",1,,,,no,T:arandomizeddoubleblindclinicaltrialofphagenebulizedinhalationforthetreatmentofre
